button;text;latitude;longitude
Житомир;"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ОБЛАСНИЙ ПЕРИНАТАЛЬНИЙ ЦЕНТР ЖИТОМИРСЬКОЇ ОБЛАСНОЇ РАДИ
М. ЖИТОМИР 10004 ВУЛ. РОМАНА ШУХЕВИЧА, 2-А
(0412) 41 67 28 (приймальне відділення) (0412) 41 67 26 (реєстратура)
OFFICE_RHMC@UKR.NET";50.28096;28.6114
Вінниця;"Вінницька обласна клінічна лікарня ім. М.І.Пирогова
м.Вінниця, вул. Пирогова 46
(0432) 671-361 (реєстратура)
voklip@ukr.net";49.22888;28.45195
Луцьк;"Центр планування сім’ї та репродукції людини, Волинська обласна дитяча клінічна лікарня 43000,
Волинська область, м. Луцьк, пр.Відродження,30.
332254108";50.76103;25.38032
Львів;"«Львівський обласний центр репродуктивного здоров’я населення»
м. Львів вул. Короленка, 9
+38 (032) 275-80-61, +38 (032) 276-61-62
reproduction_lv@ukr.net";49.84123;24.03992
Львів;"Центр репродуктивного здоров`я жінки 3-ї міської клінічної лікарні
м. Львів, вул. Русових, 4
(032) 237-08-89";49.83381;24.00782
Львів;"Львівський обласний клінічний перинатальний центр
м. Львів, вул. Джорджа Вашингтона, 6
(032) 270-16-90  (032) 270-00-86";49.815153;24.072838
Миколаїв;"Обласний центр планування сім`ї
Миколаїв, Київська вул., 3
+380 (512) 41-47-44";46.95372;31.94592
Миколаїв;"Медичний центр «Інститут Здоров’я Сім’ї»
м. Миколаїв, вул. Садова, буд. 2.
512375252";46.969909;32.004225
Одеса;"Обласний центр планування сім`ї
Одеса, вул Заболотного Академіка, 26
+380 (48) 750-02-95 +380 (48) 798-46-40 +380 (48) 750-01-69";46.58615;30.78151
Полтава;"ОБЛАСНИЙ ЦЕНТР ПЛАНУВАННЯ СІМ’Ї
м. Полтава, вул. Шевченка, буд.10
(0532)-60-84-24, (0532) 60-83-86, 05326 08393
oklvld@gmail.com";50.01233;33.00869
Рівне;"КП “Обласний перинатальний центр”
м. Рівне, вул. Міцкевича, 30 (біля готелю “Мир”)
Довідкова (0362) 62-09-78 Оглядово - приймальне відділення (0362) 62-09-23
perenatal.centr@icc.rv.ua та perinatalcentr.rivne@gmail.com";50.62171;26.25291
Київ;"ДУ «ІНСТИТУТ ПЕДІАТРІЇ, АКУШЕРСТВА І ГІНЕКОЛОГІЇ ІМЕНІ АКАДЕМІКА О.М. ЛУК’ЯНОВОЇ НАМН УКРАЇНИ»
Контакти м. Київ, вул. Платона Майбороди, 8.
Е-mail: ipag@ukr.net amnu.gov.ua";50.47021;30.47502
Суми;"Сумський обласний центр планування сім`ї та репродукції людини
Адреса: вул. Санаторна, 3
Телефон: (0542) 33-50-77";50.87771;34.81452
Тернопіль;"Тернопільський обласний клінічний перинатальний центр «Мати і дитина»
Тернопіль вул Замкова 10
tmkpb@columbus.te.ua";49.55382;25.58939
Харків;"Центр планування сім`ї та репродукції людини
м. Харків, вул. Артема, б.47
E-mail: planning@kharkov.ukrtel.net
Телефон: (057) 715-60-29";50.008075;36.24592
Хмельницький;"ЦЕНТР ПЛАНУВАННЯ СІМ`Ї ТА РЕПРОДУКЦІЇ ЛЮДИНИ
м.Хмельницький, вул. Хотовицького, 6";49.41256;26.9623
Черкаси;"Черкаський обласний центр планування сім`ї та репродукції людини
вул. 30 років Перемоги, 16/1, м. Черкаси,
тел/факс 33-44-17,
е-mail: perinatalck@gmail.com, genetika506@gmail.com";49.44047;32.042581
Слов`янськ;"Донецький обласний центр соціальних служб (доцсс)
площа СОБОРНА, будинок 2
+38 (062) 311-21-78
19386597@mail.gov.ua";48.85223;37.60435
Слов`янськ;"Донецький обласний центр соціальних служб для сім’ї, дітей та молоді
пл. Жовтневої Революції,
2 (06262) 3-45-54";56.145635;31.602826
Дружківка;"Донецький обласний Центр соціально-психологічної допомоги
вул. Машинобудівників (Радченка), 64
(095) 428-17-00";48.629355;37.547085
Дніпро;"Дніпропетровський обласний центр соціальних служб для сім`ї дітей та молоді
пр. Кірова, 83/2
(056) 370-48-18";48.453481;35.022978
Дніпро;"Обласний комунальний заклад «Дніпропетровський центр соціально-психологічної допомоги»
вул. Праці, буд. 24
(056) 376-53- 83, (056) 748-07-39";13.7949;100.550201
Ужгород;"Закарпатський обласний центр соціальних служб для сім’ї, дітей та молоді
пл. Народна, 4; 6-й поверх, к. 601, 602, 603, 605, 608
(03122) 3-52-27, 3-40-00
zocsssdm@gmail.com";48.625454;22.28907
Ужгород;"Закарпатський обласний центр соціально-психологічної допомоги
вул. Благоєва, 10-б
Тел.: (0312) 63-80-97 Моб. тел.: (050) 077-69-59, (099) 029-44-45";48.640783;22.309737
Перечин;"Обласний соціальний центр матері і дитини
вул. Червоноармійська, 36 Тел.: (0245) 2-34-87";48.73969;22.49255
Запоріжжя;"Запорізький обласний центр соціальних служб для сім’ї, дітей та молоді
вул. Рекордна, 24,
(061) 224-70-09
css@ukrpost.ua";47.85082;35.12604
Запоріжжя;"Запорізький обласний центр соціально-психологічної допомоги
вул. Північнокільцева, 22а
(061) 213-88-20";47.78418;35.22703
Бердянськ;"«Обласний соціальний центр матері та дитини»
вул. І. Франка, 18
(0615) 34-05-54";46.74849;36.80978
Верховина;"Центр соціально психологічної допомоги
вул. Коваля, 1
(03432) 2-51-45";48.15599;24.7994
Івано-Франківськ;"Івано-Франківський обласний центр соціальних служб для сім’ї, дітей та молоді
вул. Грушевського, 21
(0342) 53-91-07
if_ocsssdm@i.ua";48.92241;24.7146
Кропивницький;"Кіровоградський обласний центр соціальних служб для сім’ї, дітей та молоді
вул. Преображенська, 2, 3-й поверх
(0522) 24-67-83, 32-10-07
public@ocsssdm.kr-admin.gov.ua";48.50717;32.26408
Кропивницький;"Кропивницький обласний центр соціально-психологічної допомоги
вул. Короленка, 50
(0522) 27-42-36";48.53893;32.26319
Кропивницький;"КЗ «Кіровоградський обласний соціальний центр матері та дитини»
вул. Металургів, 2
(552) 27-70-59";48.52964;32.11211
Сєвєродонецьк;"Луганський обласний центр соціальних служб для сім’ї, дітей та молоді
вул. Федоренка, 41,
(06452) 4-30-97";48.9471;38.49901
Слов`яносербськ;"Луганський обласний центр соціально-психологічної допомоги
вул. Гагаріна, 36
(06473) 9-30-54";48.692771;38.980364
Чернівці;"Чернівецький обласний центр соціальних служб для сім’ї, дітей та молоді
вулиця Університетська,
20 (0372) 55-28-02, 55-04-00";48.293;25.93126
Чернівці;"Чернівецький обласний центр соціально-психологічної допомоги
м. Чернівці, вул. Білоруська, 22
(0372) 58-23-83";48.29786;25.94963
Чернівці;"Чернівецький обласний соціальний центр матері і дитини
вул. Луковецька, 2-4
(0372) 52-79-98";48.28383;25.90995
Чернігів;"Чернігівський обласний центр соціальних служб для сім’ї, дітей та молоді
вул. Шевченка, 21
(0462) 77-89-84, 77-48-25, 77-89-58
cssm_post@cg.gov.ua";51.49335;31.30463
Чернігів;"Чернігівський обласний центр соціально-психологічної допомоги, Чернігівський обласний соціальний центр матері і дитини
вул. Елеваторна, 6
(04622) 5-82-74";51.5297;31.23019
