button;text;latitude;longitude
Миколаїв;"Відділення медичної та психологічної допомоги дітям та молоді Міської дитячої поліклініки №4
м.Миколаїв, вул.Чкалова 93,
тел.(0512) 24-80–21,24–80–10
mdp4mk@gmail.com";51.536568;0.151465
Миколаїв;"Кабінет медичної допомоги підліткам та молоді  КДМ Миколаївської центральної районної лікарні
м.Миколаїв вул. Поштова 118
т. (0512)48-08-19
mikolavskacrl@online.ua";46.996170;31.955960
Первомайськ;"Кабінет медичної допомоги підліткам та молоді КЗ Первомайський міський центр первинної медико-санітарної допомоги Миколаївська обл..
м.Первомайськ вул.Івана Виговського, 9
тел.05161 4-21-91";48.042190;30.847600
Вознесенськ;"Кабінет медичної допомоги підліткам та молоді КУ Вознесенська центральна районна лікарня Миколаївська область,
м.Вознесенськ, вул. 228 Стрілкової дивізії 26
тел.(05134) 32647 Реєстратура 05134-32922";47.573590;31.316850
Южноукраїнськ;"Відділення медичної допомоги підліткам та молоді КДМ при КЗ Южноукраїнська міська лікарня
м. Южноукраїнськ вул.Миру, 3
тел. 05136-2-42-17
E-mail: kz-yuml@ukr.net";47.829079;31.178698
Баштанка;"Кабінет медичної допомоги підліткам та молоді Баштанської центральної районної лікарні Миколаївська обл.,
м. Баштанка вул..Ювілейна 3
т.(05158) 2-68-22
bashtanka-ch@ukr.net";47.41173;32.42127
Луцьк;"Кабінет медичної допомоги підліткам та молоді обласного центру планування сім’ї та репродукції людини Волинського обласного дитячого територіального медичного об’єднання
м. Луцьк , пр. Відродження 30
тел. (0332)25-61-93
vodtmo2@gmail.com.ua";50.76103;25.38032
Володимир-Волинський;"Кабінет медичної допомоги підліткам та молоді Володимир-Волинського ТМО м. Володимир-Волинський,
вул. Павлова, 20
тел (03342) 21267
vvcrl@ukr.net";50.85954;24.3187
Ковель;"Кабінет медичної допомоги підліткам та молоді Ковельського міськрайонного териториального медочного об`єднання
м.Ковель, вул. О.Пчілки 19,
тел.0335259006
e-mail:mtmo.dytpol@gmail.com";51.215951;24.715363
Нововолинськ;"Кабінет медичної допомоги підліткам та молоді Нововолинської центральної міської лікарні
м.Нововолинськ, пр. Перемоги 7,
тел. 03344 49007
ncml@ukrpost.ua";50.72462;24.17191
Вінниця;"Клініка,дружня до молоді  КНП Вінницька міська клінічна лікарня Центр матері та дитини
м.Вінниця вул.Замостянська 49
тел.0432-65-11-12
e-mail mediana.iryna@gmail.com";49.23422;28.49379
Калинівка;"Кабінет медичної допомоги підліткам та молоді Калинівської ЦРЛ
м. Калинівка, вул.. Чкалова,6
тел 04333-22453
lyaremchuk95@gmail.com";50.22879;30.22123
Львів;"Міський медичний-інформаційно-консультативний Центр Підліток і сім’я поліклініки №2 1-ої міської клінічної лікарні ім. Князя Лева
м.Львів, вул. Гетьмана Мазепи, 25- а,
тел. 032 2 527427
тел/факс:032 272-0562";49.87217;24.04188
Львів;"Центр медичної допомоги дітям та молоді «Діалог» КЗ Львівської обласної Ради Західноукраїнський спеціалізований дитячий медичний центр
м. Львів, вул. Дністерська,
тел. 27 270-34-79, 225-94-94,
email:kdm.lviv@gmail.com";49.81629;24.04923
Львів;"Центр медичної допомоги підліткам та молоді «Погляд у майбутнє» Комунальної 4-ї міської поліклініки
м.Львова пр. Червоної Калини, 57,
тел. 032 2223719
тел./факс.(032)222-55-22";49.79827;24.05171
Львів;"Відділення медико-психологічної допомоги підліткам та молоді КЗ ЛОР «Львівський обласний центр репродуктивного здоров’я » 79008,
м. Львів, вул. Короленка, 9
тел./факс 275 71 80";49.84123;24.03992
Львів;"Кабінет медичної допомоги підліткам та молоді КЗ Львівської Обласної ради Львівська обласна дитяча клінічна лікарня ОХМАТДИТ (на базі консультативної поліклініки)
м.Львів, вул. Лисенка, 31,
тел. 0322357293,
e-mail:olena9090@gmail.com";49.84223;24.04377
Дрогобич;"Кабінет медико-соціальної допомоги дітям та молоді КНП Дрогобицька міськаї поліклініка ДМР
м. Дрогобич вул. Січ. Стрільців 22
0324421374";49.3514;23.49715
