button;text
Запобігання насильству;"116 123 (безкоштовно з мобільних телефонів) або
O 8OO 5OO 335 (безкоштовно зі стаціонарних та мобільних телефонів)"
Контакт-центр правової допомоги;"0 800 213 103 (безкоштовно зі стаціонарних та мобільних телефонів)"
Безоплатна вторинна допомога;"0 800 213 103 (цілодобово та безкоштовно у межах України зі стаціонарних та мобільних телефонів)"
Всеукраїнський телефон довіри;"0 800 501 701 (безкоштовно зі стаціонарних та мобільних телефонів)"
Домашнє насильство;"15-47 Дзвінки є безкоштовними зі стаціонарних та мобільних телефонів, анонімними та конфіденційними"
Людина в біді;"0 800 210 160 (конфіденційно, анонімно, безкоштовно, цілодобово)"
ГАРЯЧА ЛІНІЯ ДЛЯ ВПО;"0 800 309 110 (безкоштовно зі стаціонарних та мобільних телефонів)"
Тимчасової втрата працездатності;"0 800 501 892  (безкоштовно зі стаціонарних та мобільних телефонів)"
Міністерство внутрішніх справ;"1536"
ВІЛ СНІД;"0 800 500 451 (безкоштовно зі стаціонарних та мобільних телефонів)"
Міністерство охорони здоро`я;"0-800-505-201"
МОЗ України;"0 800 505 840"
Урядова гаряча лінія;"1545"
Мій телефонний друг;"У разі самотності дзвони сюди 0 800 202 147"
Консультації для ЛГБТ;"0995 273 03 09"
Телефон освітнього омбудсмена;"0 95 143 87 26"
