button;text
Вінницька область;"(0432)67-51-69,
67-14-08,
52-45-52"
Волинська область;"(0332) 72-34-03
24-60-61"
Дніпропетровська;"(056) 732-48-74,
732-48-71-ф.
(056) 732-48-76"
Донецька;"(0626) 48-52-23"
Житомирська;"(0412) 47 50 11
(0412) 42 20 79"
Запорізька;"(061) 233 11 91
(061) 239 03 53"
Івано-Франківська;"(0342)55-25-22-ф."
Київська;"286-85-07-ф
284-83-26"
Кіровоградська;"(052) 22-54-98,
22-34-96-ф.,
(052) 22-54-98-ф."
Луганська;"(06452) 4-24-20"
Львівська;"(032) 235-44-56-ф.,"
Миколаївська;"(0512) 47-38-32
47-38-17-ф.
(0512) 47-38-27"
Одеська;"(048) 728-37-95
728-35-44"
Полтавська;"(0352) 50-27-27-ф.,
56-97-93
50-27-27-ф."
Рівненська;"(0362) 69-51-99-ф.
22-13-10"
Сумська;"(0542)663585"
Тернопільська;"(0352) 52-63-63,
52-21-81-ф.
(0352) 52-21-81"
Хмельницька;"( 0382) 65-80-71,
79-41-43-ф.
65-61-62"
Херсонська;"(0552) 49-20-79,
факс (0552) 22-64-87"
Черкаська;"(0472) 33-01-15-ф.
(0472) 32-11-40"
Чернівецька;"(0372) 52-24-08-ф"
Чернігівська;"(0462) 669-465,
651-764-ф.
(0462) 651-764"
Харківська;"757-44-36-ф.
(057) 757-44-35"
м. Київ;"484-05-24,
484-05-25-ф.
484-05-23"
Закарпатська;"(0312) 61-39-06"



