button;text
Місячні;"Менструація, або місячні – це частина менструального циклу, під час якого відбувається відторгнення ендометрію (слизової оболонки матки), яке супроводжується кровотечею. Під час місячних менструальна рідина, яку частіше називають менструальною кров’ю, виходить з матки через піхву.
Якщо хочеш дізнатися більше, то тисни сюди: https://genderindetail.org.ua/library/ukraina/posibnik-pro-menstruatsiyu-i-povyazani-z-neyu-pitannya-134911.html"
Кров – це ок;Менструальний період, тобто час життя людини, протягом якого вона має менструацію, триває в середньому 35 років: від менархе (початок перших місячних) до настання менопаузи (припинення у жінок менструації).
Перші місячні (менархе);"Перша менструація зазвичай наступає у віці 11–15 років. Зрідка менархе може з’явитись і з 8 років та все одно бути нормальним початком менструального періоду. Вік настання перших місячних залежить як від спадкових факторів, так і від умов життя, харчування, клімату, навколишнього середовища.
Перший час після настання менархе, місячні часто бувають нерегулярними (встановлення менструального циклу може зайняти від декількох місяців до року чи довше). Зазвичай менструації з`являються регулярно та тривають від 3 до 7 днів. Проте за певних причин тривалість циклу може коливатись і місячні можуть відстрочуватись через такі причини як: спека, голодування, прийом певних лікарських засобів, зміна клімату, стресові ситуації, незвичне фізичне навантаження."
Дізнатися більше;Настання менархе відбувається під час пубертатного періоду. Спершу тіло дівчинки зазнає помітних фізичних змін: відбувається ""ривок росту"", починають рости та формуватись груди, з’являється волосся на лобку, під пахвами, також подовжується піхва, збільшується матка. Приблизно за півроку до першої менструації дівчата можуть помітити, що прозорих вагінальних виділень стало більше. Збільшення виділень у цей період в жодному разі не повинно бути причиною для хвилювання – це нормально (тільки якщо вони не супроводжуються сильним запахом чи свербінням). Менструації зазвичай починаються до завершення формування молочних залоз і майже завжди після максимального ""ривка росту"". Початок місячних -  не є ознакою статевої зрілості, а всього лише свідчить про настання другого етапу статевого дозрівання – остаточного дозрівання репродуктивної функції жіночого організму.
Підмивання;Підмиватися потрібно рухами спереду назад, щоб у піхву не потрапили бактерії з ануса, з використанням звичайної води без мила або спеціального розчину (гелю для інтимної гігієни). Такий 30 розчин може порекомендувати гінеколог_иня для використання під час лікування якогось захворювання (але не замість лікування!). Самостійно купувати і застосовувати гелі з відділу побутових товарів не лише не потрібно, а й може бути небезпечно через ризик порушення мікрофлори статевих органів. У здоровому стані піхва та вульва мають здатність до самоочищення завдяки фізіологічним виділенням. Щодо частоти підмивань під час менструації, робити це потрібно декілька разів на добу, якщо користуєшся зовнішніми засобами гігієни (прокладки, менструальні труси), щоб змити кров і запобігти розвитку шкідливих бактерій у ній, або рідше, якщо надаєш перевагу внутрішнім засобам (тампони, менструальні чаші).
Засоби гігієни;Що тебе цікавить?
Одноразові прокладки;Одноразові прокладки потрібно змінювати раз на 3–4 години. Зазвичай така прокладка має поліетиленову клейку основу знизу, якою кріпиться до білизни і захищає від протікань. Різноманіття форм дозволяє підібрати зручний варіант: є, наприклад, нічні прокладки, розширені ззаду, є з крильцями і без, малі і великі, звичайні і потоншені, ароматизовані (що не є корисним, бо можуть викликати алергію).
Тампони;Тампон - засіб, який вводиться безпосередньо в піхву. Назовні залишається ниточка, за допомогою якої він витягується назовні. Перед введенням обов’язково потрібно помити руки. Усі деталі докладно описані і навіть проілюстровані в інструкції до тампонів. Змінювати цей засіб потрібно кожних 4–6 годин. Під час пісяння, потрібно притримувати ниточку вгору рукою.
Менструальна чаша;Менструальна чаша - келихоподібна гнучка ємність з медичного силікону. Угорі бачимо кільце, що щільно прилягає до стінок піхви. Чаша вводифться в піхву у складеному стані, потім розкривається і розташовується всередині. При правильному введенні майже не відчувається, тому дозволяє займатися спортом, плавати. Хвостик внизу допоможе витягнути чашу, коли вона наповниться. Між іншим, всередині тіла вона може перебувати до 8–12 годин, адже без доступу кисню хвороботворні бактерії не мають змоги швидко розвинутися. Чаші різних виробників відрізняються формою, гнучкістю,
Багаторазові прокладки;Формою і способом використання нагадують одноразові. Єдина суттєва відмінність  - їх потрібно прати. Виготовляються такі прокладки зазвичай з натуральної тканини, поміж верхнім і нижнім зовнішнім шаром розміщується абсорбуюча тканина. Як і одноразові, вони потребують досить частої заміни - кожні 3–4 години, тому варто запастися одразу набором багаторазових прокладок. Для  дезінфекції їх спочатку замочують у холодній воді (можна з перекисом водню), а потім перуть у машинці. Перед використанням бажано попрасувати прокладки з обох сторін, аби знищити бактерії.
Менструальні труси;Їхня будова схожа на будову багаторазової прокладки. Щоправда, носити їх можна цілий день, завдяки обіцяним виробницями антибактеріальним властивостям. Догляд полягає у замочуванні і подальшому пранні. Різні їх моделі здатні вбирати різну кількість рідини. Коштують як менструальна чаша, і навіть більше. Можна придбати такі вироби, замовивши їх в мережі.
Похід до гінеколог(ині)а;Найкращий час для обстеження у гінеколог(ині)а - середина менструального циклу. Так стверджують лікар_ки, адже важливою частиною візиту є обстеження зовнішніх і внутрішній органів та взяття аналізу (мазка) з піхви або внутрішніх статевих губ. Якщо дівчина, як зазвичай кажуть лікар_ки, живе статевим життям, лікар_ка оцінює візуально стан слизової, стінок та мікрофлори піхви, шийку матки, а також особливості виділень. 
Більше інформації;"Навіть при відсутності скарг рекомендується відвідувати гінеколог(иню)а хоча б раз на рік.
Бувають, звісно, обставини, коли відвідування може бути позаплановим, зокрема йдеться про екстрені ситуації, що супроводжуються такими тривожними ознаками: сильний біль в районі статевих органів, висока температура, рясні виділення, занадто велика тривалість критичних днів, незвичний колір виділень, неприємний запах, біль в молочних залозах, свербіння і запалення в статевих шляхах. Всі згадані ознаки і будь-яка з них окремо свідчать про запальний процес, що вимагає негайного обстеження."
Календар місячних;https://bit.ua/2020/03/menstrual-cycle-calendar/
