button;text
Чи це насильство?;"Тут ми з тобою поговоримо про насильство. Буває, що деякі люди зазнають насилля, але навіть про це не здогадуються. То що це?                                                                                                                 Це будь-які умисні дії людей, що спричиняють шкоду іншій особі, порушують права і свободи та відбуваються в умовах значної переваги сил того/тої/тих, хто скоює ці дії, що унеможливлює самозахист особи, котра страждає від цих дій.
У житті насильство часто проявляється як комбінація насильницьких дій, які складно виокремити.
Пам'ятай, що все, що відбувається проти твого бажання, свободи та прав, є умисним і не може бути вирішеним шляхом спокійного діалогу - це є насильством. В Українському законодавстві виокремлюються такі типи насильства: фізичне, психологічне, сексуальне, економічне."
Детальніше;"Найчастіше  в Україні фіксується домашнє насильство. Це діяння (дії або бездіяльність) фізичного, сексуального, психологічного або економічного насильства, що вчиняються в сім`ї чи в межах місця проживання або між родичами, або між колишнім чи теперішнім подружжям, або між іншими особами, які спільно проживають (проживали) однією сім`єю, але не перебувають (не перебували) у родинних відносинах чи у шлюбі між собою, незалежно від того, чи проживає (проживала) особа, яка вчинила домашнє насильство, у тому самому місці, що й постраждала особа, а також погрози вчинення таких діянь.
Фізичне насильство – це  (перелік не вичерпний)
- штовхання
- ляпаси, стусани і удари
- шпурляння предметів
- погроза зброєю або поранення
- перешкода при спробі вийти з будинку
- коли зовні закривають в приміщенні
- залишають в небезпечних місцях
- коли він/вона відмовляється допомогти, а ви хворі, поранені або вагітні
- особа перешкоджає тобі при спробі звернутися за медичною допомогою
- не дає заснути вночі
- відмовляється купувати продукти харчування й інші, необхідні для родини товари
- б`є  дітей
Психологічне насильство – це  (перелік не вичерпний)
- погрози, знущання, образи та приниження
- коли він/вона вас критикує
- кричить і/або кривдить
- ігнорує ваші почуття
- піднімає на сміх ваші переконання
- кривдить ваших родичів і друзів для того, щоб прогнати їх
- забороняє виходити на роботу чи навчання
- відмовляється виходити з вами на люди
- перешкоджає вам підтримувати відносини з родичами й друзями
- не дає користуватися телефоном
- принижує на публіці
Сексуальне насильство – це (перелік не вичерпний)
- примушування до сексу
- коли з вами поводяться як із сексуальним об'єктом
- коли він/вона змушує роздягатися проти вашої волі
- займається сексом з особливою жорстокістю
- змушує вступати в статеві відносини після побоїв
- проявляє виняткові ревнощі й звинувачує у любовних зв'язках з ким-небудь
- змушує дивитися й/або повторювати порнографічні дії
Економічне насильство – це  (перелік не вичерпний)
- шантаж, погрози не давати гроші
- змушувати щось робити за гроші - навіть коли ти не заробляєш або маєш фінансові труднощі
- вимога детальних звітів, як і на що витрачаються гроші
- псування майна
- прийняття грошових і фінансових рішень без вашого відома або згоди
- пряма заборона працювати чи, навчатись або дії, спрямовані на те, щоб ви не змогли працювати або вчитися
- витрачання грошей виключно на себе, відмова в наданні грошей на оплату рахунків, їжу, речі для дітей тощо
- крадіжки грошей або матеріальних цінностей у партнера й експлуатація власності партнера заради власної вигоди"
Важливо!;"Від домашнього насильства в Україні потерпають  сотні тисяч людей. Водночас, за даними правозахисних організацій, лише 10% з них звертаються по допомогу.
Найбільш потерпають від насильства жінки та дівчата.
Якщо до вас, до ваших дітей чи до близьких та рідних, власне, до будь якої людини вчиняються насильницькі дії то це ПРОТИПРАВНА ПОВЕДІНКА.
Ви маєте право на захист, не зволікайте із зверненням по консультацію чи допомогу до правоохоронних органів, громадських організацій та соціальних служб, які надають психологічну та юридичну допомогу, чи до інших державних органів,які працюють над проблемами насильства в сім`ї."
Куди звернутися?;"Куди звернутись за допомогою в разі вчинення насильства щодо тебе чи іншої особи:
- до райвідділу поліції за місцем проживання;
- до відділу сімейної та гендерної політики департаменту /відділу соціального захисту;
- до центрів соціальних служб для сім`ї, дітей та молоді;
- до служб у справах дітей;


Також проговорювання ситуації хочаб з однією близькою людиною нерідко надає додаткові можливості збільшення безпеки.
Буде корисним знати напам’ять та додати до швидкого телефонного набору у смартфоні номер телефону близької людини. Варто домовитися про систематичний контакт з такою людиною через телефон чи у соцмережі. Відсутність виходу на такий контакт може свідчити про небезпеку для життя жінки і має спонукати цю людину до термінових активних дій (телефонний дзвінок, особистий візит і т.п.).
Необхідно вирішити для себе, що сором у цих обставинах суттєво збільшує ризик для життя.
Соромно має бути кривднику, а не потерпілій!
Тому, сором при зверненні до друзів чи родичів, в офіційні інстанції за висновком про тілесні ушкодження чи до органів внутрішніх справ, соціальних служб і т.п. дуже важливо відкласти в сторону. Звернення по допомогу свідчить про силу, а не про слабкість потерпілої."
Як?;"Звернутись до цих органів ти можеш:
- особисто з усною чи письмовою заявою;
- надіславши письмову заяву поштою(рекомендованим листом з повідомленням про вручення);
передавши заяву через інших осіб;
Важливо! Навіть якщо ви викликали поліцію по телефону під час вчинення насильства щодо тебе, необхідно написати заяву про вчинене насильство на ім’я начальника райвідділу поліції за місцем твого проживання, зареєструвати її при поданні.
Відмова у прийнятті та розгляді заяви не допускається.
Обов’язково зберігай відповіді з поліції на ваші заяви, копії експертних висновків, якщо фіксувались тілесні ушкодження."
Що буде?;"Ти маєш звернутися до відповідних органів для того, щоб:
- отримати захист від протиправних посягань інших осіб щодо тебе;
- насильник/ця/ки/ці були  притягнені до відповідальності;
- запобігти повторенню насильства в майбутньому щодо тебе, або інших осіб."
Юристки;"Основні поради від юристки, про те, що можна вчинити для захисту від насильства:
1. При можливості забезпечити собі та дитині безпечне місце перебування (залишити житло, покликати сусідів чи родичів, закритися в кімнаті, тощо). Після чого викликати поліцію.
2. Повідомити поліцію про вчинення насильства відносно себе, а також відносно дітей, якщо діти були свідками насильства.
3. За наявності тілесних ушкоджень (синці, подряпини і т.д.), навіть якщо вас били по голові і видимих тілесних ушкоджень нема, зазначити про це у своїй заяві і одразу ж у цей день або на наступний, не чекаючи скерування поліції, звертайтеся у травмпункт і повідомляйте, хто вас побив. Після написання заяви у поліцію призначається слідчий. Від нього ви можете отримати скерування на проходження експертизи з метою визначення ступеня тяжкості тілесних ушкоджень.
4. Поліція, приїхавши на виклик, за наявності для цього підстав, може затримати кривдника максимум на 3 години, тому за цей час подбайте про власну безпеку та безпеку своїх дітей.
5. У випадку вчинення відносно вас сексуального насильства, зателефонуйте на 102 і повідомте про зґвалтування. Важливо, щоб ви дочекалися поліції, не милися та нічого не рухали у квартирі до моменту прибуття поліції, оскільки необхідно буде пройти медичну експертизу.
6. Якщо насильство відбувалося у присутності дітей або відносно них, у тому числі якщо це психологічне насильство, а саме образи, приниження, погрози, звинувачення тощо, напишіть заяву в службу у справах дітей.
7. Якщо ви вирішили розлучитися і припинити будь-які відносини із кривдником, зверніться до юриста з метою визначення подальших кроків (подання заяви про розірвання шлюбу, стягнення аліментів на утримання дітей, визначення місця проживання дітей, поділ майна, тощо).
8. У ситуації домашнього насильства найчастіше страждають діти, оскільки відповідно до Сімейного кодексу України батько і мати мають рівні права щодо спілкування з дітьми, побачення з ними та проживання. Тому якщо насильство в сім'ї відбувалося у присутності дітей, внаслідок чого діти мають психологічні травми, ви маєте право не давати кривдникові бачитися та спілкуватися з дітьми, поки рішенням суду не буде визначеного способу участі батька у вихованні дітей та призначено дні, години та визначено умови побачень. Відповідно до статті 159 Сімейного кодексу України суд має право вирішити, що побачення з дітьми може відбуватися лише у присутності третіх осіб, зокрема психолога, соціального працівника тощо. Якщо ви хочете захистити себе та дитину, то вам необхідно повідомляти про факти насильства відносно себе та дитини, оскільки в подальшому при вирішенні вищезазначених питань судом це враховується.
9. Звертайтеся за допомогою до Центрів безоплатної правової допомоги, які є у ваших містах. Працівники та працівниці Центрів обізнані з проблемами домашнього насильства і можуть вам допомогти. Також ви можете звернутися до Центрів соціальних служб для сім`ї, дітей та молоді, які мають психологів та відповідних фахівців та володіють інформацією про наявність притулків для жінок у вашій області, або розглянути можливість тимчасового переміщення вас у Центр соціально-психологічного допомоги."
Психологині;"Аналіз ризику для життя:
1. Потрібно оцінити існуючі ризики для життя, у випадку, якщо кривдник і потерпіла продовжуватимуть проживати разом. Якщо є небезпека для життя, то першим завданням допомоги є безпека та збільшення ресурсів (внутрішніх, соціальних, матеріальних, тощо).
2. Психотерапевтична допомога у цих випадках може надаватися лише за умови мінімізації небезпеки для життя.
3. Необхідно  звертати  увагу на наступні аспекти, наявність кожного з яких збільшує ризик летальності у випадках домашнього насильства:

- робив спроби задушити жінку;
- вчиняв невдалі спроби суїциду;
- вбивав домашніх тварин;
- має доступ до зброї;
- має досвід застосування зброї проти людей;
- входить в «божевільний» стан;
- погрожував вбивством;
- хтось з близьких кривдника покінчив життя самогубством;
- насильство щодо дітей;
- скоював раніше жорстоке насильство щодо будь-кого;
- має потребу здійснення постійної влади та контролю над життям жінки;
- ставиться до жінки як до своєї власності;
- використовує важкі наркотики;
- має потребу завдавати біль та ображати інших;
- ґвалтував потерпілу чи будь-кого.
Чим більше відповідей «так» щодо перелічених факторів – тим загроза для життя жінки є більшою."
План безпеки;"1. Необхідно щоб у жінки були (якщо це можливо!) оригінали (чи хоча б копії) усіх важливих документів (паспорти, свідоцтва про народження дітей, свідоцтво про шлюб, документи про власність на квартиру чи інше майно, дипломи, посвідчення і т.п.).
2. Корисно домовитися з сусідами про те, що якщо вони чують характерний шум боротьби чи крики про допомогу з квартири потерпілої, то відразу починають стукати до неї у двері та викликають поліцію.
3. Виклики поліції дуже часто стають єдиним доказом при розгляді справ у судах того, що відбувалося насильство. Тому, дуже важливо викликати представників ОВС у кожному випадку насильства, і це не залежить від того, проживає кривдник з потерпілою разом чи вже окремо.
4. Потрібно подбати про те, щоб десь у безпечному місці (за межами спільного проживання) були відкладені гроші на перший час, необхідний одяг, інші цінні речі.
5. Необхідно виписати всі життєво-важливі телефони (на випадок, якщо телефон потерпілої буде викрадено чи заблоковано). Це можуть бути контакти до близьких, в офіційні установи (у тому числі до вчителів дітей, лікарів, номери гарячих ліній допомоги у кризових ситуаціях і т.п.).
6. Також необхідно знайти таке місце, куди у разі небезпеки можна піти.
- У будь-якому разі, коли існує загроза життю жінки, необхідно зробити все, щоб втекти (з документами чи без них, з грошима чи без них, в одязі чи без нього) і з безпечного місця викликати поліцію.
- Втеча і крик найчастіше виявляються найефективнішими швидкими стратегіями захисту жінки та дітей  від домашнього насилля.
- ВИНЕН КРИВДНИК, А НЕ ПОТЕРПІЛА"
Подивись;"Моя особиста порада для тебе подивитися додатково ці ролики:
1. Щодо згоди на секс: https://www.youtube.com/watch?v=pVIs7h95GFQ.
2. Щодо згоди для дітей: https://www.youtube.com/watch?v=89IJADyjlmQ&t=7s
Також, багато важливої інформації ти можеш знайти тут: https://vsenedlyadomu.com.ua/"
