button;text;latitude;longitude
Житомир;"ЖИТОМИРСЬКИЙ ОБЛАСНИЙ ЦЕНТР СОЦІАЛЬНИХ СЛУЖБ
вулиця МАЛА БЕРДИЧІВСЬКА, будинок 25 каб. 625 ,
тел.:(0412) 47-44-07, 47-09-91, 47-09-92
e-mail: zt_kadru@ukr.net";50.25231;28.66476
Вінниця;"ВІННИЦЬКИЙ ОБЛАСНИЙ ЦЕНТР СОЦІАЛЬНИХ СЛУЖБ
ВУЛИЦЯ МОНАСТИРСЬКА будинок 47
0432 671 040";49.23112;28.47037
Луцьк;"ВОЛИНСЬКИЙ ОБЛАСНИЙ ЦЕНТР СОЦІАЛЬНИХ СЛУЖБ,
вул.Cтепана Бандери, 5
контактний телефон: 726 222";50.74788;25.32811
Львів;"ЛЬВІВСЬКИЙ ОБЛАСНИЙ ЦЕНТР СОЦІАЛЬНИХ СЛУЖБ ДЛЯ СІМ'Ї, ДІТЕЙ ТА МОЛОДІ
вулиця Чайковського, 17
+38 (032) 261-09-42
locssm@ukr.net";49.83703;24.02861
Миколаїв;"Миколаївський обласний центр соціальних служб для сім’ї, дітей та молоді
вул. Спаська, 43/5,
(0512) 37-64-92, 37-67-07
e-mail : socserv2008@ukr.net";46.97366;31.99019
Одеса;"ОДЕСЬКИЙ ОБЛАСНИЙ ЦЕНТР СОЦІАЛЬНИХ СЛУЖБ ДЛЯ СІМ`Ї ДІТЕЙ ТА МОЛОДІ
вулиця Іцхака Рабіна, 7
048 784 9267";46.44039;30.70397
Полтава;"ПОЛТАВСЬКИЙ ОБЛАСНИЙ ЦЕНТР СОЦІАЛЬНИХ СЛУЖБ ДЛЯ СІМ’Ї, ДІТЕЙ ТА МОЛОДІ
вул. Соборності, 54, к.401
(0532) 607393";49.59519;34.5408
Рівне;"РІВНЕНСЬКИЙ ОБЛАСНИЙ ЦЕНТР СОЦІАЛЬНИХ СЛУЖБ
ВУЛИЦЯ ЧОРНОВОЛА будинок 66,
40-15-41, 40-15-43
rocssm@ukr.net";50.61227;26.25675
Київ;"КИЇВСЬКИЙ ОБЛАСНИЙ ЦЕНТР СОЦІАЛЬНИХ СЛУЖБ ДЛЯ СІМ`Ї, ДІТЕЙ ТА МОЛОДІ
(КОЦСССДМ) ШЕВЧЕНКІВСЬКИЙ район, вулиця КОМІНТЕРНУ, будинок 16
Запис в ЄДР: 01032, м. Київ, Шевченківський р-н, вул. Комінтерну, буд. 16";50.44411;30.49776
Суми;"Сумський обласний центр соціальних служб для сімї, дітей та молоді
вул. Троїцька, 26
тел/факс (0542) 25-42-33
e-mail: soccm@ukr.net";50.91763;34.81603
Тернопіль;"ТЕРНОПІЛЬСЬКИЙ ОБЛАСНИЙ ЦЕНТР СОЦІАЛЬНИХ СЛУЖБ ДЛЯ СІМ`Ї, ДІТЕЙ ТА МОЛОДІ
вулиця Шпитальна, 7/67
0352 220 395";49.54796;25.60035
Харків;"Харківський обласний центр соціальних служб для сім`ї, дітей та молоді
вул. майдан Свободи, 5/1
057 757 0896";49.80928;36.05272
Хмельницький;"Хмельницький обласний центр соціальних служб для сім’ї, дітей та молоді
Львівське шосе, 10/1
(0382) 76-55-58, 65-02-38
hocsssdm@ukr.net";49.41618;26.95366
Черкаси;"Черкаський обласний центр соціальних служб для сім’ї, дітей та молоді
вул. Громова, 10, к.508, 509, 510, 511, 512
тел./факс 63-05-54, 63-54-97
e-mail: winners@ukrpost.ua";49.430837;32.059597
Слов`янськ;"Донецький обласний центр соціальних служб (доцсс)
площа СОБОРНА, будинок 2
+38 (062) 311-21-78
19386597@mail.gov.ua";48.85223;37.60435
Слов`янськ;"Донецький обласний центр соціальних служб для сім’ї, дітей та молоді
пл. Жовтневої Революції, 2
(06262) 3-45-54";48.85228;37.60582
Дружківка;"Донецький обласний Центр соціально-психологічної допомоги
вул. Машинобудівників (Радченка), 64
(095) 428-17-00";48.629355;37.547085
Дніпро;"Дніпропетровський обласний центр соціальних служб для сім`ї дітей та молоді
пр. Кірова, 83/2
(056) 370-48-18";48.453481;35.022978
Ужгород;"Закарпатський обласний центр соціальних служб для сім’ї, дітей та молоді
пл. Народна, 4; 6-й поверх, к. 601, 602, 603, 605, 608
(03122) 3-52-27, 3-40-00
zocsssdm@gmail.com";48.625454;22.28907
Запоріжжя;"Запорізький обласний центр соціальних служб для сім’ї, дітей та молоді
вул. Рекордна, 24,
(061) 224-70-09
css@ukrpost.ua";47.85082;35.12604
Запоріжжя;"Запорізький обласний центр соціальних служб для сім’ї, дітей та молоді
вул. Олександрівська, 48
Телефон: +38 (061) 764-42-65";47.81784;35.17816
Івано-Франківськ;"Івано-Франківський обласний центр соціальних служб для сім’ї, дітей та молоді
вул. Грушевського, 21
(0342) 53-91-07
if_ocsssdm@i.ua";48.92241;24.7146
Кропивницький;"Кіровоградський обласний центр соціальних служб для сім’ї, дітей та молоді
вул. Преображенська, 2, 3-й поверх
(0522) 24-67-83, 32-10-07
public@ocsssdm.kr-admin.gov.ua";48.50717;32.26408
Сєвєродонецьк;"Луганський обласний центр соціальних служб для сім’ї, дітей та молоді
вул. Федоренка, 41,
(06452) 4-30-97";48.9471;38.49901
Слов`яносербськ;"Луганський обласний центр соціально-психологічної допомоги
вул. Гагаріна, 36
(06473) 9-30-54";48.692771;38.980364
Чернівці;"Чернівецький обласний центр соціальних служб для сім’ї, дітей та молоді
вулиця Університетська,
20 (0372) 55-28-02, 55-04-00";48.293;25.93126
Чернівці;"Чернівецький обласний центр соціально-психологічної допомоги
вул. Білоруська, 22
(0372) 58-23-83";48.29786;25.94963
Чернігів;"Чернігівський обласний центр соціальних служб для сім’ї, дітей та молоді
вул. Шевченка, 21
(0462) 77-89-84, 77-48-25, 77-89-58
cssm_post@cg.gov.ua ";51.49335;31.30463
Чернігів;"Чернігівський обласний центр соціально-психологічної допомоги
вул. Елеваторна, 6
(04622) 5-82-74";51.52974;31.23015
