button;text
Що це?;"Привіт, радію, що ти обрала мою улюблену тему. Поясню тобі, що таке секс - це зв`язок між людьми, сексуальний потяг. Більшість звикли слідувати  “традиційній моделі”, що передбачає статевий акт між чоловіком та жінкою, і що це має залишатися лише між ними. Але є багато варіацій, і усе залежить від згоди усіх партнерів або/та партнерок. Немає правильного або неправильного сексу, це має визначатися лише людьми, які ним займаються або хочуть зайнятися: їх бажаннями, їх вподобаннями, їх можливостями. Секс - це не соромно, про це можна і потрібно говорити.

Я запитала також у своїх подружок, ось що вони думають:

“Секс - це особливо інтимний зв`язок між людьми, не обов`язково двома, і не обов`язково має характер фізичного контакту, що передбачає і фізичне і/чи ментальне задоволення бажань сексуального характеру.”(Маша, 25 років)

“Секс опишу в двох варіантах. Перший - противне слово «злиття», що має на увазі статевий контакт між двома і більше людьми (залежить лише від згоди усіх учасників/учасниць  та власного бажання).
Другий - близькість, яка виникає в результаті емоційного і фізичного пориву, і яка приносить учасникам/учасницям багато щастя і свободи.”(Каріна, 20 років)

“Іноді від сексу буває багато проблем, а іноді бувають проблеми від його відсутності сміється” (Катя, 22 роки).

А ще тут у дівчат класна ініціатива, де вони відкрито говорять про свій сексуальний досвід, рекомендую послухати: https://anchor.fm/vpershe.
Переходь за посиланням та став на Plaу."
Права;"Права, як на мене дуже прості:
⠀
1. Ти маєш право на захищений секс: попросити хлопця надіти презерватив (якщо відмовляється - подумай чи це тобі потрібно, бо це порушує твої права і це небезпечно), попросити показати медицинську довідку - це не соромно, а важливо. Також, є латексні серветки для орального сексу, та презервативи для жінок.
⠀
2. Все залежить від твого бажання, якщо тобі щось не подобається - ти можеш про це сказати партнеру або партнерці. Якщо він чи вона не зрозуміли, то вам слід це обговорити. Якщо все одно не зрозумів_ла, то ти можеш попросити зупинитися. Нічого не бійся.
⠀
3. Ти завжди можеш сказати “Ні”, якщо не хочеш сексу. Навіть, якщо спочатку хотіла, а потім передумала, також, все ще можеш сказати - “Ні”.
⠀
4. Ти завжди можеш запропонувати зайнятися сексом, якщо хочеш. Якщо хтось не хоче - це ок, заставляти не треба, і проблема не в тобі, так склалося. Це право кожного/кожної на відмову.
⠀
5. Якщо тебе намагаються/намагалися змусити займатися сексом, зателефонуй в поліцію (номер - 102; нагадую, що за корисними контактами можеш звернутися до Каті).
⠀
6. Ще посилання на корисний відос: https://youtu.be/pVIs7h95GFQ"
Сексуальність;"Я не знаю, як краще розповісти про сексуальність, ніж показати реальний досвід дівчат. Тут немає “правильного” чи “не правильного досвіду”. Запам’ятай, що все ок, коли тобі ок (безпечно, комфортно).
⠀
“Негативний досвід у мене відбувся з недосвідченим партнером, який не знав, що потрібно приділити достатньо часу прелюдії, і який елементарно не розумів моїх відчуттів. Другий з партнером, який думав під час сексу тільки про своє задоволення і принижував мою зовнішність. Але тільки тепер я розумію, що відразу треба було закінчувати це все. Зараз все круто, завжди розмовляємо з партнером про те, що кому подобається, дослухаємося один до одного.” (Віка, 25)
⠀
“Згадаю-ка я мій перший та позитивний досвід, до речі з того моменту зустрічаємося вже два роки. Мій партнер ще до першого сексу запропонував зайнятися секстингом, щоб можна було зрозуміти, що кому подобається; сказав про те, що якщо я раптом в момент близькості не захочу сексу - то це нічого не зіпсує і не змінить; сказав, що коли я гола - то я також красива для нього; і який під час сексу питав, чи комфортно мені і в якій позі / місці я б хотіла продовжити.”(Дарина,  21)
⠀
“ Ще у школі, я зрозуміла, що мені подобаються лише дівчата. З того моменту, я почала зустрічатися зі своєю найближчою подругою, я їй також виявилося подобалася. Але ми боялися сказати одна одній. Всі були проти нас, відносилися несерйозно, особливо близькі люди. Разом ми вже 5 років, нам класно одна з одною, не уявляю зараз якби було іначе.” (Оля, 23)
⠀
“Мой первый сексуальный опыт был в 14 лет, когда я встречалась с мальчиком, которому было 18. Он не активно настаивал, но давал понять что ему хочется сексуального контакта и так надо. По его инициативе мы пробовали петтинг и однажды он настоял на неглубокой пенетрации.  Это было в лифте без света, мне не было приятно, но после того как мы вышли мы обнаружили кровь на руках, что означало что случился надрыв девственной плевы. Я была расстроена, так как я не хотела этого. И вообще не получила никакого удовольствия. После этого у нас были частые половые акты. Которые не доставляли мне удовольствия. Касательно позитивного опыта - сейчас, по любви и с человеком, которого беспокоит мой комфорт и которому интересны мои желания.” (Инна, 22)"
Куріння;"Курити - це не круто. Більш того, це знижує сексуальний потяг (лібідо) та очевидно, що шкодить здоров’ю"
Алкоголь;"Не раджу вживати алкогольні напої до 18 років(продаж алкоголю в Україні дозволено з 21 року), а після, як мінімум потрібно знати свою норму і не переходити межу - це не прикольно. Вони не лише шкодять здоров’ю усього організму, а й вирішують за тебе.

Алкоголь впливає на здатність раціонально мислити та керувати ситуацією, дуже часто можна потрапити у неприємності. Людину, яка знаходиться у стані алкогольного сп`яніння легше схилити до сексу, чи зчинити над нею насильство. Знаю, інформація не найприємніша, але я бажаю, аби ти піклувалася про себе. Якщо все таки так вийшло, що ти перейшла межу, не залишайся з незнайомими людьми і знайди безпечне місце."
Наркотики;"Тут і писати нічого. Наркотики - це не ок. Твоє життя дуже важливе, і завжди після чорної смуги  невдач, йде біла - яскрава і сонячна, яка затримується набагато довше. Психоактивні речовини можуть забрати твою свідомість і твоє світло. Коли ти не ти - це страшно і небезпечно.

На людних вечірках слідкуй за своєю склянкою та не бери напій від незнайомців. Ніколи не знаєш, чи можуть тобі щось підсипати в коктейль. Та взагалі, не все, що пропонують потрібно брати/куштувати.

“Кайф” від наркотиків - це міф, придуманий тими, хто їх розповсюджує. Тому, мисли раціонально, і аналізуй, що і хто тобі щось пропонує. У тебе завжди є вибір і право сказати “Ні”."
Твої права;"
1. Якщо працюєш - тебе не мають права звільнити.

2. Державні щомісячні виплати (по 860 грн/місяць) для утримання дитини протягом 3-х років від народження.

3. “Твоє тіло- твоє діло” - ти маєш право на аборт, це має бути лише твоє рішення."
Аборт;"Ти маєш право на аборт (переривання вагітності впродовж перших її 22 тижнів). Це має бути твоє рішення, яке  ніхто не має право засуджувати."
Безпека;"1. Використовуй презервативи та латексні серветки під час сексу.  Вони значно знижують ризик передачі захворювань статевим шляхом. Також існують гормональні контрацептиви (таблетки), але вони не знижують ризик ІПСШ (інфекцій, які передаються статевим шляхом), а лише запобігають вагітності. Перед прийняттям потрібно порадитися з гінекологом або гінекологинею.

2. Використовуй захист під час орального сексу, адже є ризик заразитися інфекцією. Під час оральних ласк можна захиститися за допомогою презерватива або латексної серветки, якою прикривають вульву або анус.

3. Потрібно використовувати лубрикант, аби презерватив не порвався через суху слизову (для латексних презервативів використовуйте лубрикант лише на водній основі).

4. Про всяк випадок бери з собою презерватив (можливо партнер забуде про це, але класно, що ти нагадаєш). Ну або використовуй жіночий презерватив. Два відразу не використовуйте, так вони можуть сповзти чи порватися.

5. Говори “Ні”, якщо не хочеш сексу. Ти можеш це сказати, навіть якщо ти погодилася незадовго до початку, або в процесі.

6. Якщо відчуваєш загрозу безпеці, або тобі стало некомфортно просто скажи “Я не хочу це продовжувати”. Ти не маєш за це вибачатися, це твоє бажання і його мають поважати.

7. Перевіряй своє здоров’я - не відразу хвороба дає про себе знати, і тому, краще перевіритися і бути впевненою, що все ок. Якщо був незахищений секс, також звернись до лікаря/лікарки, буває, що наслідки  інфекції з'являються не відразу.

8. Поговоріть з партнером або партнеркою перед самим сексом - це найкращий час пізнати один одного без наслідків."
Інфекції (ІПСШ);"ІПСШ - це інфекції, що передаються статевим шляхом.

Людина може мати ІПСШ без явних симптомів хвороби.

Зараження ІПСШ не завжди свідчить про легковажне ставлення до вибору партнерів/ок: і при одному постійному/постійній партнерові/ці існує певний ризик захворіти. Тому, найкраще піти разом здати аналізи - ну а що, це як в кіно сходити.

Презервативи слід використовувати щоразу під час сексу: від початку до самого кінця, оскільки ІПСШ можуть передаватися через природну змазку.

Грубий, “пристрасний” секс підвищує ризик травми. Через ранки чи подряпини легко можна заразитись ІПСШ, адже вони відкривають прямий шлях до крові. Особливо це стосується анального сексу, оскільки шкіра в прямій кишці делікатна й легко пошкоджується.


Підстригайте нігті, якщо хочете зайнятись фінгерінгом, або використовуйте латексні рукавички. Це зменшить ризик травмування слизової партнера_ки.

Всесвітньою організацією охорони здоров'я в «Глобальній стратегії профілактики інфекцій, що передаються статевим шляхом, та боротьби з ними на 2006—2016 роки» виділяє поняття «безпечна статева поведінка» (безпечний секс), що включає в себе:

- Правильне і систематичне використання чоловічих і жіночих презервативів;
- Правильне застосування місцевих бактерицидних засобів, антисептиків, які значно знижують, але повністю не усувають ризик зараження;
- Періодичне обстеження за допомогою клінічної та лабораторної діагностики;
- У разі діагностування інфекції (або підозри на її наявність) спеціалізоване лікування;
- Статева стриманість;
- Обов'язкове повідомлення статевих партнерів;
- Вакцинація проти онкогенних вірусів гепатиту B і папіломавірусів людини."
Бар`єрні;"Користуйтеся презервативами – це латексний (майже завжди) виріб, який створює бар’єр для потрапляння сперми в піхву. Тим, хто має алергію на латекс, варто використовувати поліуретанові або інші синтетичні вироби.

Презервативи бувають чоловічими (які надягають на пеніс) та жіночими (які встановлюють всередину піхви). Жіночі презервативи, або фемідоми мають велике кільце на кінці для запобігання ковзання всередину тіла.

Як на мене, презерватив має величезні переваги:  їх застосування значно зменшує ризик передачі ІПСШ.
Презервативи дуже міцні, але при неправильному використанні можуть порватися. У такому випадку необхідно буде використати додатковий метод контрацепції, як-от екстрені контрацептиви.
Ефективність презервативу – при правильному використанні 98%.


Інший спосіб, внутрішньоматкова спіраль – це невеликий Т-подібний пластиковий та мідний пристрій, який вводиться у матку. Мідь, яку містить спіраль, змінює цервікальний слиз, що ускладнює спермі шлях до яйцеклітини та знижує її життєздатність.
Спіраль можна вводити в будь-який період менструального циклу, якщо немає вагітності. Перевагами є довгостроковий термін використання – від 5 до 10 років (залежно від типу спіралі).
Однак є й побічні ефекти: після встановлення внутрішньоматкової спіралі ваша менструація протягом перших місяців може бути набагато болючою та тривалішою. Також у вас можуть бути кров’янисті виділення між менструаціями.
Ефективність – при правильному введені становить 99%.
Такий метод не захищає від ІПСШ, гепатиту та ВІЛ/СНІДу."
Гормональні;"Комбіновані оральні контрацептиви (КОК) - це пігулки, штучні аналоги таких гормонів, як естроген та прогестерон. Важливо порадитися з дорослими, а краще звернутися до гінеколога/гінекологині.
Такий метод не захищає від ІПСШ, гепатиту та ВІЛ/СНІДу
Екстрена контрацепція
Тобі необхідно прийняти екстрену контрацептивну пігулку протягом 3 або 5 днів після незахищеного сексу та еякуляції у піхву. В цьому випадку необхідно порадитися з гінекологом/гінекологинею.
Такий метод не захищає від ІПСШ, гепатиту та ВІЛ/СНІДу
Лише лікарка/лікар можуть рекомендувати тобі засоби контрацепції, звісно окрім презервативу, його можна і потрібно використовувати при сексуальних контактах завжди(якщо не маєш наміру завагітніти).
Увага! Увага! - перерваний статевий акт не засіб контрацепції! При перериванні сперма все одно може попасти у піхву і привести до вагітності і недобре, якщо та вагітність небажана.
"
